Verifying with hexadecimal (base-16) digit sums...

✓ 4 (n=2): root=2, hexadecimal_sum=4, 2 == 4-2
✓ 196 (n=2): root=14, hexadecimal_sum=16, 14 == 16-2
✓ 481890304 (n=6): root=28, hexadecimal_sum=34, 28 == 34-6
✓ 457163239653376 (n=8): root=68, hexadecimal_sum=76, 68 == 76-8
✓ 26584441929064321 (n=8): root=113, hexadecimal_sum=121, 113 == 121-8
✓ 36520347436056576 (n=12): root=24, hexadecimal_sum=36, 24 == 36-12
✓ 9265520865486350180712999550976 (n=15): root=116, hexadecimal_sum=131, 116 == 131-15
✓ 15407021574586368000000000000000 (n=15): root=120, hexadecimal_sum=135, 120 == 135-15
✓ 51185893014090757000000000000000 (n=15): root=130, hexadecimal_sum=145, 130 == 145-15
✓ 2619995643649944960380551432833049 (n=15): root=169, hexadecimal_sum=184, 169 == 184-15
✓ 2862423051509815793000000000000000 (n=15): root=170, hexadecimal_sum=185, 170 == 185-15
✓ 4057314978192845108413208747802624 (n=15): root=174, hexadecimal_sum=189, 174 == 189-15
✓ 7331260020097109395248329169764701 (n=15): root=181, hexadecimal_sum=196, 181 == 196-15
✓ 14025781293956267101815048510107349 (n=15): root=189, hexadecimal_sum=204, 189 == 204-15
✓ 15181127029874798299000000000000000 (n=15): root=190, hexadecimal_sum=205, 190 == 205-15
✓ 16424815836134967431419702090988351 (n=15): root=191, hexadecimal_sum=206, 191 == 206-15
✓ 35313507945286316289283147644203001 (n=15): root=201, hexadecimal_sum=216, 201 == 216-15
✓ 63415335095210960124836554318777649 (n=15): root=209, hexadecimal_sum=224, 209 == 224-15
✓ 73153789697653178440420401869338651 (n=15): root=211, hexadecimal_sum=226, 211 == 226-15
✓ 146515680075648627280231446453925301 (n=15): root=221, hexadecimal_sum=236, 221 == 236-15
✓ 876981044547002268373288620384066249 (n=15): root=249, hexadecimal_sum=264, 249 == 264-15
✓ 988793999455569623112068815709691251 (n=15): root=251, hexadecimal_sum=266, 251 == 266-15
✓ 406423140664757252240160100000000000000000000 (n=20): root=170, hexadecimal_sum=190, 170 == 190-20
✓ 985086641190842190075330601206987815818605630001 (n=20): root=251, hexadecimal_sum=271, 251 == 271-20
✓ 6118625560089276488733958103694021701812744140625 (n=20): root=275, hexadecimal_sum=295, 275 == 295-20
✓ 4301431178848799040411011070519998467949638490834092425216 (n=24): root=252, hexadecimal_sum=276, 252 == 276-24
✓ 491270867882865027638624073988615701905196266870031437244001 (n=24): root=307, hexadecimal_sum=331, 307 == 331-24
✓ 234948221740900487213473874382406001131069639717059942038237281 (n=24): root=397, hexadecimal_sum=421, 397 == 421-24
✓ 16876114448038631143436088348852116710671286403671901144718759021433061376 (n=30): root=276, hexadecimal_sum=306, 276 == 306-30
✓ 14560226239714952488947253331885760974740800138328012741571874855169 (n=26): root=383, hexadecimal_sum=409, 383 == 409-26
✓ 640467183048878148099486939994732662494724160708342579260956843176249 (n=26): root=443, hexadecimal_sum=469, 443 == 469-26
✓ 3518760103384635915488691555604719251192935880020379042706432593514289 (n=26): root=473, hexadecimal_sum=499, 473 == 499-26
✓ 111186413610993811950185637819224232932533011049000000000000000000000000000000 (n=30): root=370, hexadecimal_sum=400, 370 == 400-30
✓ 7625844988713666190220078963019213511725912653215474496704825134367589454053376 (n=30): root=426, hexadecimal_sum=456, 426 == 456-30
✓ 28235815108973772110027186690706970280411201113352255365625955164432525634765625 (n=30): root=445, hexadecimal_sum=475, 445 == 475-30
✓ 39479842665806602234295041487552225589752197265625000000000000000000000000000000 (n=30): root=450, hexadecimal_sum=480, 450 == 480-30
✓ 42198426412558369225103233414495314077497116108323107335232627719858691336851001 (n=30): root=451, hexadecimal_sum=481, 451 == 481-30
✓ 155105505647437008006244642848035508582971419877088537808361225424215878424735601 (n=30): root=471, hexadecimal_sum=501, 471 == 501-30
✓ 4025122500165050857846893555378982183964343966042775946334586478769779205322265625 (n=30): root=525, hexadecimal_sum=555, 525 == 555-30
✓ 2575375061874539787711521702042893710092608333756002290232933229948739152655492550376321 (n=32): root=539, hexadecimal_sum=571, 539 == 571-32
✓ 1532495540865888858358347027150309183618739122183602176000000000000000000000000000000000000000000000 (n=45): root=160, hexadecimal_sum=205, 160 == 205-45
✓ 132139231746529535128986786679872719663149865033290339855686698254245711260166867078465052310113330508333056 (n=44): root=272, hexadecimal_sum=316, 272 == 316-44
✓ 4229674933772890063167374343175652965319860190078429167351253018216910293749230444039041815091653640192 (n=39): root=428, hexadecimal_sum=467, 428 == 467-39
✓ 59395513609735683404323996635851514769916008784784545593181612049779939208657342438971585389416805302272 (n=39): root=458, hexadecimal_sum=497, 458 == 497-39
✓ 670025191744596317228124175583097499389077493907030463463583719826205682947208634282209641282961177430406962207522816 (n=44): root=452, hexadecimal_sum=496, 452 == 496-44
✓ 3378195499976723794080845071381853695398315197070726107922618853839359152224376766348321186736021094531072 (n=39): root=508, hexadecimal_sum=547, 508 == 547-39
✓ 115487323459129404859075238843803319219274213026355949992572884525389788351899389294562509112968780380610037284864 (n=42): root=492, hexadecimal_sum=534, 492 == 534-42
✓ 9525592312380125669671562936345921565912896043991161793265653697549512795125198346408285994424562529352046839601685331968 (n=45): root=488, hexadecimal_sum=533, 488 == 533-45
✓ 196149635187209266439543557331583708273688865406844797580749034330009415374929474587415910763363458821903997537 (n=39): root=673, hexadecimal_sum=712, 673 == 712-39
✓ 1758430191505141483100557976321412644543511242468221717060484951224692653742506885407318928254682482681001716892818806407168 (n=45): root=548, hexadecimal_sum=593, 548 == 593-45
✓ 10336380909072984040478934731183442668440297718142506219164825973278827978612057000000000000000000000000000000000000000000000 (n=45): root=570, hexadecimal_sum=615, 570 == 615-45
✓ 22607873285027655873860657001472988373879490141498863404231658646658012170682368000000000000000000000000000000000000000000000 (n=45): root=580, hexadecimal_sum=625, 580 == 625-45
✓ 26395768405835450338378885844487613679711342364676564860046507989838768634213726726828911066280775910119516764997419041554432 (n=45): root=582, hexadecimal_sum=627, 582 == 627-45
✓ 2183716004247470051816050011183635396580969922628186884360096184877885350993120068325959699120751098576339364252483584 (n=42): root=622, hexadecimal_sum=664, 622 == 664-42
✓ 6776977482771385338250334655244300103930764039314513245015386083282159933557389575382542990984338958743952404341118721 (n=42): root=639, hexadecimal_sum=681, 639 == 681-42
✓ 809438706724502072072607786625802046256053678397861468978206736741871214969528829345742072697016878415282684495063407570976768 (n=45): root=628, hexadecimal_sum=673, 628 == 673-45
✓ 4376649903203371860561341555575884064725794418463980343542081662197315649992458706874261829787852606982096465264501926062456832 (n=45): root=652, hexadecimal_sum=697, 652 == 697-45
✓ 260481377636644270384718039403492354759322154728257481003190904432114984671842915091915710352035269296604485109366001009 (n=42): root=697, hexadecimal_sum=739, 697 == 739-42
